code                                         ,year   ,host                          ,season   ,edition       ,motto                                                                                                                                                             ,num_athletes ,start_date                           ,end_date                             ,page_name
"2004_athens_paralympics"                    ,"2004" ,"Athens"                      ,"summer" ,"paralympics" ,"Great Athletes. Great Performances.(Greek: Μεγάλοι Αθλητές. Μεγάλες Επιδόσεις.)"                                                                                 ,"3806"       ,"2004-10-17"                         ,"2004-10-28"                         ,"2004_Summer_Paralympics"
"2008_beijing_paralympics"                   ,"2008" ,"Beijing"                     ,"summer" ,"paralympics" ,"One World, One Dream(Chinese: 同一个世界 同一个梦想 pinyin: Tóng yīge shìjìe tóng yīge mèngxiǎng)"                                                               ,"3951"       ,"2008-10-06"                         ,"2008-10-17"                         ,"2008_Summer_Paralympics"
"2012_london_paralympics"                    ,"2012" ,"London"                      ,"summer" ,"paralympics" ,"Inspire a Generation"                                                                                                                                            ,"4302"       ,"2012-09-29"                         ,"2012-10-09"                         ,"2012_Summer_Paralympics"
"2016_rio-de-janeiro_paralympics"            ,"2016" ,"Rio de Janeiro"              ,"summer" ,"paralympics" ,"A new world(Portuguese: Um mundo novo)"                                                                                                                          ,"4342"       ,"2016-10-07"                         ,"2016-10-18"                         ,"2016_Summer_Paralympics"
"2020_tokyo_paralympics"                     ,"2020" ,"Tokyo"                       ,"summer" ,"paralympics" ,"United by Emotion"                                                                                                                                               ,"4403"       ,"2020-09-24"                         ,"2020-10-05"                         ,"2020_Summer_Paralympics"
"2024_paris_paralympics"                     ,"2024" ,"Paris"                       ,"summer" ,"paralympics" ,"Games Wide Open (French: Ouvrons Grand les Jeux)"                                                                                                                ,"4463"       ,"2024-09-28"                         ,"2024-10-08"                         ,"2024_Summer_Paralympics"
"2028_los-angeles_paralympics"               ,"2028" ,"Los Angeles"                 ,"summer" ,"paralympics" ,""                                                                                                                                                                ,""           ,"2028-09-15"                         ,"2028-09-27"                         ,"2028_Summer_Paralympics"
"2032_brisbane_paralympics"                  ,"2032" ,"Brisbane"                    ,"summer" ,"paralympics" ,""                                                                                                                                                                ,""           ,"2032-09-24"                         ,"2032-10-05"                         ,"2032_Summer_Paralympics"
"1976_ornskoldsvik_paralympics"              ,"1976" ,"Örnsköldsvik"                ,"winter" ,"paralympics" ,""                                                                                                                                                                ,"196"        ,"1976-03-21"                         ,"1976-03-28"                         ,"1976_Winter_Paralympics"
"1980_geilo_paralympics"                     ,"1980" ,"Geilo"                       ,"winter" ,"paralympics" ,""                                                                                                                                                                ,"299"        ,"1980-03-01"                         ,"1980-03-07"                         ,"1980_Winter_Paralympics"
"1984_innsbruck_paralympics"                 ,"1984" ,"Innsbruck"                   ,"winter" ,"paralympics" ,""                                                                                                                                                                ,"419"        ,"1984-02-14"                         ,"1984-02-20"                         ,"1984_Winter_Paralympics"
"1988_innsbruck_paralympics"                 ,"1988" ,"Innsbruck"                   ,"winter" ,"paralympics" ,""                                                                                                                                                                ,"377"        ,"1988-02-17"                         ,"1988-02-24"                         ,"1988_Winter_Paralympics"
"1992_tignes+albertville_paralympics"        ,"1992" ,"Tignes / Albertville"        ,"winter" ,"paralympics" ,""                                                                                                                                                                ,"365"        ,"1992-04-25"                         ,"1992-05-01"                         ,"1992_Winter_Paralympics"
"1994_lillehammer_paralympics"               ,"1994" ,"Lillehammer"                 ,"winter" ,"paralympics" ,"No Limits(Norwegian: Ingen Grenser)"                                                                                                                             ,"471"        ,"1994-04-10"                         ,"1994-04-19"                         ,"1994_Winter_Paralympics"
"1998_nagano_paralympics"                    ,"1998" ,"Nagano"                      ,"winter" ,"paralympics" ,"Fureai and Inspiration(Japanese: ふれあいと感)"                                                                                                                  ,"571"        ,"1998-04-05"                         ,"1998-04-14"                         ,"1998_Winter_Paralympics"
"2002_salt-lake-city_paralympics"            ,"2002" ,"Salt Lake City"              ,"winter" ,"paralympics" ,"Mind, Body, Spirit"                                                                                                                                              ,"416"        ,"2002-04-07"                         ,"2002-04-16"                         ,"2002_Winter_Paralympics"
"2006_turin_paralympics"                     ,"2006" ,"Turin"                       ,"winter" ,"paralympics" ,"Passion lives here(Italian: La passione vive qui)"                                                                                                               ,"486"        ,"2006-04-10"                         ,"2006-04-19"                         ,"2006_Winter_Paralympics"
"2010_vancouver_paralympics"                 ,"2010" ,"Vancouver"                   ,"winter" ,"paralympics" ,"With Glowing Hearts(French: Des plus brillants exploits)"                                                                                                        ,"506"        ,"2010-04-12"                         ,"2010-04-21"                         ,"2010_Winter_Paralympics"
"2014_sochi_paralympics"                     ,"2014" ,"Sochi"                       ,"winter" ,"paralympics" ,"Hot. Cool. Yours.(Russian: Жаркие. Зимние. Твои.)"                                                                                                               ,"550"        ,"2014-04-07"                         ,"2014-04-16"                         ,"2014_Winter_Paralympics"
"2018_pyeongchang_paralympics"               ,"2018" ,"PyeongChang"                 ,"winter" ,"paralympics" ,"Passion. Connected.(Korean: 하나된 열정.)"                                                                                                                       ,"569"        ,"2018-04-09"                         ,"2018-04-18"                         ,"2018_Winter_Paralympics"
"2022_beijing_paralympics"                   ,"2022" ,"Beijing"                     ,"winter" ,"paralympics" ,"Together for a Shared Future(Chinese: 一起向未来)"                                                                                                               ,"564"        ,"2022-04-04"                         ,"2022-04-13"                         ,"2022_Winter_Paralympics"
"2026_milano+cortina_paralympics"            ,"2026" ,"Milano / Cortina"            ,"winter" ,"paralympics" ,"Dreaming Together (Italian: Sognando insieme)"                                                                                                                   ,""           ,"2026-04-06"                         ,"2026-04-15"                         ,"2026_Winter_Paralympics"
"2030_french-alps_paralympics"               ,"2030" ,"French Alps"                 ,"winter" ,"paralympics" ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"2030_Winter_Paralympics"
"2034_salt-lake-city=utah_paralympics"       ,"2034" ,"Salt Lake City–Utah"         ,"winter" ,"paralympics" ,""                                                                                                                                                                ,""           ,""                                   ,""                                   ,"2034_Winter_Paralympics"
